link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/fbi-geek-squad-customer-data-seach_us_5aa004b3e4b002df2c5fc9bc,Geek Squad Has Been Turning Customer Data Over To The FBI For More Than A Decade,BUSINESS,New documents show the two groups have a deeper working relationship than previously known.,Ryan Grenoble,2018-03-07
https://www.huffpost.com/entry/how-you-can-book-a-trip-for-just-1_n_5c2f7ef2e4b0407e908b031b,Here's How You Can Book A Trip For Just $1,TRAVEL,"Book now, pay later.",Brittany Nims,2019-01-04
https://www.huffingtonpost.com/entry/unique-travel-accessories-for-your-next-trip_us_5aa688b5e4b07047bec87c5a,25 Unique Travel Accessories For Your Next Trip,TRAVEL,"Pack light, go far.",Brittany Nims,2018-03-12
https://www.huffingtonpost.com/entry/top-destination-2018-lonely-planet_us_5a79e3bae4b06505b4e87478,Lonely Planet's Top U.S. Destination Of 2018 Is An Underrated Treasure,TRAVEL,Pack your bags!,Abigail Williams,2018-02-06
https://www.huffpost.com/entry/trick-to-keeping-new-years-resolution_l_5fe3a988c5b66809cb2fd054,"The Simple, Science-Backed Trick To Keeping Your New Year's Resolution",WELLNESS,A new study may have cracked the code to what makes people stick to their goals -- and it only takes a second.,Catherine Pearson,2020-12-31
https://www.huffpost.com/entry/giuliani-not-testifying-atlanta-trump-election-interference_n_62f25cb4e4b0133dd5b30763,Lawyer: Rudy Giuliani Won’t Testify Tuesday In Georgia Election Probe,POLITICS,The special grand jury in Atlanta is investigating whether former President Donald Trump and others illegally tried to interfere in the 2020 general election in the state.,,2022-08-09
https://www.huffingtonpost.com/entry/game-of-thrones-hotel_us_5a57d3d3e4b02cebbfda35ac,Finnish Chain Builds 'Game Of Thrones'-Themed Hotel Fit For Wildlings,TRAVEL,It's the closest thing to sleeping north of the Wall.,Carol Kuruvilla,2018-01-11
https://www.huffingtonpost.com/entry/the-one-thing-youre-forgetting-in-your-carry-on_us_5a4cf428e4b06cd2bd03e3c5,The One Thing You’re Forgetting In Your Carry-On,TRAVEL,"While you can’t bring that liter of SmartWater through TSA, you absolutely can bring the empty bottle to refill at a water fountain once you’re past security.","PureWow, ContributorWhat your girl crush reads online",2018-01-03
https://www.huffpost.com/entry/timothy-leduc-nonbinary-winter-olympics_n_61fa7873e4b06abdc4293fc5,Meet The First Nonbinary U.S. Athlete To Compete In Winter Olympics,SPORTS,"“It’s been a really long journey for me, embracing my gender,” pairs skater Timothy LeDuc said.",,2022-02-02
https://www.huffpost.com/entry/charles-barkley-gay-transgender-speech_n_62d2fbe5e4b0f69130306cf2,"Charles Barkley: 'If You're Gay Or Transgender, I Love You!'",SPORTS,"""If anybody gives you s**t, you tell 'em Charles said f**k you!'""",Hilary Hanson,2022-07-16
https://www.huffingtonpost.com/entry/united-airlines-dog-japan-missouri_us_5aa949dee4b0004c04067a57,United Airlines Mistakenly Flies Family's Dog To Japan Instead Of Kansas City,TRAVEL,The mix-up came just a day after a puppy died aboard a United flight.,Hilary Hanson,2018-03-14
https://www.huffingtonpost.com/entry/6-breathtaking-destinations-with-no-cell-service_us_5a7a00f5e4b01109985cd8d1,6 Breathtaking Destinations With No Cell Service For Your Next Vacation,TRAVEL,"1. Hacienda AltaGracia (Pérez Zeledón, Costa Rica)","PureWow, Editorial Partner",2018-02-07
https://www.huffpost.com/entry/tom-brady-blood-unsportsmanlike-conduct-penalty_n_61ee7e06e4b03216750d2906,Tom Brady Bleeds In Playoff Defeat And Twitter's Sharks Come For Him,SPORTS,"The Tampa Bay Buccaneers quarterback got his first unsportsmanlike penalty and a bloody lip after bragging that refs let him ""talk smack.""",Ron Dicker,2022-01-24
https://www.huffingtonpost.com/entry/remington-arms-chapter-11-bankruptcy_us_5ab85907e4b0decad04b57b6,Remington Files For Chapter 11 Bankruptcy Amid Mounting Pressure For More Gun Control,BUSINESS,The company listed assets in the range of $500 million to $1 billion and liabilities in the range of $500 million and $1 billion.,"Tom Hais, Reuters",2018-03-26
https://www.huffpost.com/entry/roderick-brooks-shooting-fatal-houston_n_62e18fb0e4b09d14dc3ef013,Deputy Kills Unarmed Black Man After Alleged Shoplifting From Houston Dollar General,POLITICS,"Footage shows a Harris County Sheriff’s Office deputy chasing the man, pinning him down and hitting him with a stun gun before shooting him in the back.",Phillip Jackson,2022-07-27
https://www.huffingtonpost.com/entry/im-a-travel-blogger-and-this-little-known-island_us_5accc846e4b0e3074f651caf,"I’m A Travel Blogger, And This Little-Known Island Is Truly Heaven On Earth",TRAVEL,Here’s my guide to the magical getaway.,"PureWow, Editorial Partner",2018-04-11
https://www.huffpost.com/entry/immunity-covid-fourth-shot_l_624d9214e4b0981745088b19,What Your COVID Immunity May Be Like With A 4th Shot,WELLNESS,How long do antibodies last with an additional dose? Should you time the shot to COVID waves or social plans? Here's what to know.,Julia Ries,2022-04-07
https://www.huffpost.com/entry/can-i-let-cat-out-heat_l_62df0934e4b000da240339c6,Should I Take My Cat Out In This Heat?,WELLNESS,Certain temperatures are too dangerous for pets. Experts share precautions and tips for how to take care of your feline friends in a heat wave.,Caroline Bologna,2022-07-27
https://www.huffpost.com/entry/kyrsten-sinema-campaign-donations_n_62f7c515e4b0526eaeeb1df9,Sinema Took Wall Street Money While Killing Tax On Investors,POLITICS,"Democratic Sen. Kyrsten Sinema of Arizona has received nearly $1 million in campaign contributions over the past year from private equity professionals, hedge fund managers and venture capitalists whose interests she has staunchly defended in Congress.","Brian Slodysko, AP",2022-08-13
https://www.huffpost.com/entry/coronavirus-smithfield-meatpacking-plant-cdc-report_n_5f2da621c5b6b9cff7f19790,Coronavirus Tore Through This Meatpacking Plant With Incredible Speed,BUSINESS,"About 67 Smithfield workers a day were contracting the virus at the peak of the outbreak, the CDC found.",Dave Jamieson,2020-08-07
https://www.huffpost.com/entry/bc-oly-paralympics_n_622200c2e4b04a0545d5285e,"As War Rages, Paralympics To Open In Beijing Without Russia",SPORTS,The Winter Paralympics are set to open in Beijing with the Russian athletes sent home and the Ukrainian team escaping a war zone to get to China.,,2022-03-04
https://www.huffpost.com/entry/hand-sanitizer-mistakes_l_5f873d86c5b6c4bb54723219,13 Hand Sanitizer Mistakes You're Probably Making,WELLNESS,"Beware of these errors when disinfecting your hands for germs, including the virus that causes COVID-19.",Nicole Pajer,2020-10-15
https://www.huffpost.com/entry/examples-covid-19-vaccines-working_l_60b63be1e4b0f2a82eeea4f0,6 Real Examples That Prove The COVID-19 Vaccines Are Working,WELLNESS,Need evidence that the coronavirus shots are effective in controlling the pandemic? Look no further.,Julia Ries,2021-06-02
https://www.huffpost.com/entry/pence-says-did-not-take-classified-material_n_6300e9ece4b0f7df9bb0d29a,Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,The former vice president made the disclosure after FBI agents seized classified and top secret documents from Donald Trump's Florida home.,"Thomas Beaumont, AP",2022-08-20
https://www.huffpost.com/entry/jackie-robinson-museum_n_62e02a4fe4b06e213fc46a31,Jackie Robinson Museum Opens After 14 Years Of Planning,SPORTS,The Jackie Robinson Museum has opened in Manhattan with a gala ceremony attended by the 100-year-old wife of the barrier-breaking ballplayer and two of his children.,"RONALD BLUM, AP",2022-07-26
https://www.huffpost.com/entry/monkeypox-what-to-know-outbreak-symptoms_l_6287b809e4b0415d4d76d4ae,Monkeypox: What You Need To Know About The Virus,WELLNESS,"The virus has been declared a global health emergency. Here's what that means for you, plus advice on symptoms, treatment and more.",Julia Ries and Lindsay Holmes,2022-05-20
https://www.huffpost.com/entry/mlb-pitchers-catchers-don-report_n_620cfb53e4b0685128b01cb9,Major League Baseball Fails To Start On Time And Winter Feels Endless,SPORTS,Pitchers and catchers didn't report as scheduled for spring training as MLB and players fight over $10 billion in revenue.,,2022-02-16
https://www.huffingtonpost.com/entry/the-best-cheap-places-to-go-in-europe-this-winter_us_5a30512de4b04bd8793e9547,The Best (Cheap) Places To Go In Europe This Winter,TRAVEL,"BARCELONA, SPAIN Get your credit cards ready. We eyed round-trip flights from NYC to Barcelona for under $400 throughout","PureWow, ContributorWhat your girl crush reads online",2017-12-12
https://www.huffpost.com/entry/olivia-troye-secret-service-texts-inspector-general_n_62e55c06e4b07f83766fc1ae,Ex-DHS Aide Suggests She 'Went Very Public' Because She Didn't Trust Inspector General,POLITICS,"Olivia Troye, who quit the administration in 2020, appeared to call out the same Trump official now embroiled in the Secret Service text-deletion scandal.",Marco Margaritoff,2022-07-30
https://www.huffpost.com/entry/national-archives-deleted-secret-service-texts_n_62d6c6bbe4b008a2d03f1ac4,"Secret Service Can't Recover Jan. 6 Texts, National Archives Wants Probe",POLITICS,The House committee investigating the violent insurrection subpoenaed the texts last Friday.,Ryan Grenoble,2022-07-19
https://www.huffpost.com/entry/elite-consulting-group-corporate-diversity-black-lives-matter_n_5f329b5fc5b6fc009a5da166,"An Elite Consulting Firm Said 'Black Lives Matter,' But Staffers Never Got The Message",BUSINESS,"Partners at Red Associates described Black women as “angry” and “scary,” and one person was asked to use eugenicist-approved “The Bell Curve” in research.",Emily Peck,2020-08-17
https://www.huffpost.com/entry/gop-ukraine-aid_n_62d5cc17e4b0f69130331d50,Republicans Begin To Sour On Aid To Ukraine,POLITICS,"Initially a bipartisan priority, helping Ukraine stop Russia is becoming a harder sell for Republicans.",Jonathan Nicholson,2022-07-18
https://www.huffpost.com/entry/sec-says-elon-musk-violated-fraud-settlement-with-tweet_n_5c750c47e4b0bf166202d7c4,SEC Says Elon Musk Violated Fraud Settlement With Tweet,BUSINESS,The U.S. Securities and Exchange Commission filed a motion asking for the Tesla CEO to show why he shouldn't be held in contempt.,"Alexandria Sage, Reuters",2019-02-26
https://www.huffingtonpost.com/entry/introverts-listen-up-this-private-cabin-is-how-you_us_5a1494cae4b0815d3ce65ac6,"Introverts, Listen Up: This Private Cabin Is How You Fly Without Interacting With Anyone",TRAVEL,The first completely private cabins will premiere on select Emirates flights from Dubai to Brussels and Geneva as early as December.,"PureWow, ContributorWhat your girl crush reads online",2017-11-21
https://www.huffpost.com/entry/weight-loss-may-not-make-you-healthier_l_61638056e4b0cc44c50dcbfe,"Weight Loss May Not Actually Make You Healthier, Study Reveals",WELLNESS,Want a long and healthy life? New research shows that focusing on this one behavior may help a lot more than losing weight.,Catherine Pearson,2021-10-13
https://www.huffpost.com/entry/bc-us-texas-school-shooting-teachers_n_631644f7e4b0ed021dea6f3b,Uvalde Fourth Graders Waited An Hour With Wounded Teacher,POLITICS,"When Elsa Avila looks at the scar that runs down her torso, she can't help remember May 24, when a gunman stormed her fourth grade wing at Robb Elementary in Uvalde, Texas, killing 19 children and two teachers and leaving her and others wounded.","ACACIA CORONADO, AP",2022-09-05
https://www.huffpost.com/entry/ukraine-festival_n_6327b4a0e4b082746beb52c7,‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,An annual celebration took on a different feel as Russia's invasion dragged into Day 206.,Jonathan Nicholson,2022-09-19
https://www.huffpost.com/entry/over-2-billion-announced-for-roads-bridges-bike-lanes-across-us_n_62f6140be4b0da517ef78267,"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",POLITICS,Numerous transportation projects across the U.S. will be getting a slice of $2.2 billion of new federal funding.,"Terry Tang and David A. Lieb, AP",2022-08-12
https://www.huffpost.com/entry/trump-said-wounded-vets-in-military-parades-didnt-look-good-for-him-book_n_62f12ab8e4b0da5ec0f69062,Trump Said Wounded Veterans In Military Parades Didn’t 'Look Good' For Him: Book,POLITICS,"“Those are the heroes,” John Kelly reportedly responded to Trump in the new book “The Divider” by journalists Peter Baker and Susan B. Glasser.",Elyse Wanshel,2022-08-08
https://www.huffpost.com/entry/elaine-thompson-herah-100-jamaican-sweep_n_610542e9e4b00fa7af83200f,Elaine Thompson-Herah Wins 2nd Straight 100-Meter Gold In Blazing Time,SPORTS,"Jamaicans completed a sweep and the lone American, Teahna Daniels, finished seventh at the Tokyo Olympics.",Ron Dicker,2021-07-31
https://www.huffingtonpost.com/entry/expert-reveals-the-odd-trick-that-can-help-you-stay-calm-during-a-turbulent-flight_us_5a90471ae4b01e9e56bb6bbc,Expert Reveals The Odd Trick That Can Help You Stay Calm During A Turbulent Flight,TRAVEL,"Even for the most experienced fliers, turbulence can be unsettling. Though the pockets of air are “uncomfortable, but not",,2018-02-23
https://www.huffingtonpost.com/entry/what-the-southwest-flight-can-teach-us-about-oxygen-masks_us_5ad78dafe4b029ebe0207d81,What The Southwest Flight Can Teach Us About Oxygen Masks,TRAVEL,A former flight attendant called out passengers for wearing their masks incorrectly.,Caroline Bologna,2018-04-18
https://www.huffpost.com/entry/outside-lower-coronavirus-risk-precautions_l_5ef9fba4c5b612083c50c804,Think You Won't Get Coronavirus Outside? Think Again.,WELLNESS,"Some people seem to confuse lower COVID-19 risk with no risk. But the outdoors aren't magic, and you should still take precautions.",Catherine Pearson,2020-06-29
https://www.huffpost.com/entry/nikola-jokic-cheap-shot-markieff-morris_n_618a4882e4b06de3eb7a60a7,Nikola Jokic Unleashes 'Nasty Cheap Shot' At Markieff Morris In Ugliest Play Of Season,SPORTS,"The Denver Nuggets star, ejected after his blindside hit, said he felt bad because Morris' ""head snapped back.""",Ron Dicker,2021-11-09
https://www.huffpost.com/entry/herschel-walker-georgia_n_62d96194e4b0a6852c3512ef,"Herschel Walker Is A Messy Candidate, But The Georgia Senate Race Is Still A Toss-Up",POLITICS,"Despite his many scandals and gaffes, polls show the former football star trailing only slightly behind Democratic Sen. Raphael Warnock.",Nathalie Baptiste,2022-07-21
https://www.huffpost.com/entry/canada-olympic-team-outfit-2022_n_61fd1debe4b0725faac8d75f,People Are Obsessed With 1 Part Of The Canada Winter Olympic Team's Outfit,SPORTS,"""They're ridiculous and I'm obsessed,"" one fan wrote on Twitter.",Lee Moran,2022-02-04
https://www.huffpost.com/entry/face-shields-better-masks-protection-coronavirus_l_5f1f1a39c5b638cfec486fdc,Are Face Shields Better Than Face Masks For Protection Against COVID-19?,WELLNESS,Experts debate how effective face shields are in reducing the spread of the coronavirus.,Kelsey Borresen,2020-07-29
https://www.huffpost.com/entry/2022-election-planned-parenthood_n_62fcb4c9e4b071ea958b347c,Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,The nation's leading reproductive health care provider is pouring money into contests where access to abortion will be on the ballot.,"Brian Slodysko, AP",2022-08-17
https://www.huffingtonpost.com/entry/5-places-to-travel-in-2018-that-are-still-under-everyones_us_5a6f7bc5e4b0609b0bf05f3c,5 Places To Travel In 2018 That Are Still Under Everyone’s Radar,TRAVEL,"If tourists, crowds and lines make you anxious, why not take the road less traveled?","PureWow, Editorial Partner",2018-01-29
https://www.huffpost.com/entry/republican-senate-candidate-maryland-false-child-trafficking_n_62d55189e4b0f69130322be3,Republican Senate Candidate Charged With Making False Child Trafficking Allegations,POLITICS,"Ryan Dark White, a U.S. Senate candidate in Maryland running as Jon McGreevey, concocted the story for ""his own political agenda,"" the sheriff said.",Marita Vlachou,2022-07-18
https://www.huffpost.com/entry/pat-cipollone-jan-6-grand-jury_n_6311c619e4b07d96a24d2ae8,Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,POLITICS,Cipollone's former deputy Patrick Philbin is also reportedly scheduled to provide testimony to the grand jury on Friday.,Marita Vlachou,2022-09-02
https://www.huffpost.com/entry/michigan-jocelyn-benson-election-midterms_n_63158ff2e4b0682ad3d22355,Michigan Secretary of State Worried About ‘Violence And Disruption’ Going Into Midterms,POLITICS,"Jocelyn Benson said misinformation ""fuels the potential for additional threats, harassment and even violence on Election Day.""",Nick Visser,2022-09-05
https://www.huffpost.com/entry/utility-bill-service-shutoffs-coronavirus_n_5e6c1002c5b6bd8156f752c9,Utilities Face Pressure To Stop Shutting Off Services Amid Coronavirus Pandemic,BUSINESS,"Companies are voluntarily halting disconnects over unpaid bills, but advocates warn there’s no legal obligation to do so amid the COVID-19 outbreak.",Alexander C. Kaufman,2020-03-14
https://www.huffingtonpost.com/entry/uber-ends-forced-arbitration-sexual-assault-harassment_us_5afa48b5e4b044dfffb5411c,"Uber Ends Forced Arbitration In Individual Cases Of Sexual Assault, Harassment",BUSINESS,Victims will be free to go to court -- but a few caveats remain.,Emily Peck,2018-05-15
https://www.huffpost.com/entry/record-therapy-sessions-ok_l_5f6a13c5c5b6968b276fb61f,Is It OK To Record Your Therapy Sessions?,WELLNESS,Want to revisit the mental health advice you got from your therapist? Here's what you should know about taping appointments.,Caroline Bologna,2020-09-23
https://www.huffingtonpost.com/entry/turn-your-hobby-into-a-vacation_us_5a12faabe4b08b00ba67324b,7 Under-The-Radar U.S. Spots To Turn Your Hobby Into A Vacation,TRAVEL,"4. History in Appomattox, Virginia For history buffs, a trip to Appomattox, Virginia is a must. It is best known as the location","Booking.com, ContributorA HuffPost Brand Forum partner; the global leader in connectin...",2017-11-22
https://www.huffpost.com/entry/capitol-riot-investigation-mark-meadows_n_63235733e4b000d988594a5d,Mark Meadows Complies With Justice Dept. Subpoena: Report,POLITICS,"The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.","ERIC TUCKER, AP",2022-09-15
https://www.huffpost.com/entry/ways-alleviate-tech-neck_l_617985f8e4b066de4f6b065b,"10 Ways To Alleviate Tech Neck, According To Experts",WELLNESS,"Hunching over a laptop, tablet or smartphone can lead to ongoing neck pain. Here's how the pros recommend catching some relief.",Michelle Rostamian,2021-10-28
https://www.huffingtonpost.com/entry/these-are-the-most-expensive-travel-days-of-the-year_us_5a8ef1cbe4b005bb0fef4586,These Are The Most Expensive Travel Days Of The Year,TRAVEL,"We all love a good travel deal, so avoid these two days. There are two days of the year that are the absolute most expensive","Marah Alindogan, AOL.com",2018-02-22
https://www.huffpost.com/entry/sleep-signs-health-problem_l_629f7d88e4b07aa9389e9dcd,"If You're Doing This In Your Sleep, It's Time To See A Doctor",WELLNESS,Experts reveal symptoms that strike during nighttime rest and what those signs might mean for your health.,Krissy Brady,2022-06-08
https://www.huffpost.com/entry/2022-wnba-finals_n_6327f56fe4b0eac9f4e3144d,"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,Las Vegas never had a professional sports champion — until Sunday.,"Pat Eaton-Robb, AP",2022-09-19
https://www.huffpost.com/entry/face-shields-protect-against-sneeze_l_5fd244e1c5b68256b1132a9f,Video Shows How Much Face Shields Protect Against A 'Sneeze Vortex',WELLNESS,"Sneezes produce a fluid phenomenon known as ""vortex rings."" Here's what that looks like and how well your face covering stops it.",Natasha Hinde,2020-12-10
https://www.huffpost.com/entry/gop-senate-trump_n_62ed7803e4b09fecea4e1124,GOP Senators Refuse To Rule Out Supporting Donald Trump Again — Even If He's Indicted,POLITICS,"With the ex-president reportedly under criminal investigation, many Senate Republicans are taking a wait-and-hope-it-doesn’t-happen stance.",Jonathan Nicholson,2022-08-06
https://www.huffingtonpost.com/entry/the-8-prettiest-and-most-photogenic-spots-in-the-pacific_us_5a1c8244e4b09413e786ae30,The 8 Prettiest And Most Photogenic Spots In The Pacific Northwest,TRAVEL,"1. Prospect, Oregon","PureWow, ContributorWhat your girl crush reads online",2017-11-27
https://www.huffpost.com/entry/lucius-fox-vomit-baseball_n_6266835ae4b0d077486304c2,Lucius Fox Makes Sickening Exit Just 2 Pitches Into Game,SPORTS,The Washington Nationals infielder became a hurler for one gross moment — which was caught on video — against the San Francisco Giants.,Ron Dicker,2022-04-25
https://www.huffpost.com/entry/caeleb-dressel-dog-swim_n_6118210be4b0f7bc26a635d1,Caeleb Dressel Swims With His Dog Jane In Gold Medal-Worthy Video,SPORTS,The Olympic swimmer's canine pal showed impressive prowess in the pool.,Hilary Hanson,2021-08-14
https://www.huffpost.com/entry/coronavirus-quarantine-fitness-tweets-workout_l_5ebb603dc5b6b58e4cc9a12b,32 Too-Real Tweets About Quarantine Fitness,WELLNESS,"""Who even has time to exercise with all this extra sitting around to do?""",Caroline Bologna,2020-05-14
https://www.huffpost.com/entry/john-metchie-leukemia_n_62dea05fe4b03dbb991b4d83,"NFL Rookie John Metchie III Diagnosed With Leukemia, Will 'Likely' Miss Season",SPORTS,"""I cannot wait to come back stronger than ever,"" the Houston Texans receiver said.",,2022-07-25
https://www.huffingtonpost.com/entry/saks-lord-taylor-hit-by-payment-card-data-breach_us_5ac13071e4b055e50ace8f0a,"Saks, Lord & Taylor Hit By Payment Card Data Breach",BUSINESS,Toronto-based Hudson’s Bay did not say when the breach had begun or how many payment card numbers were taken.,"Jim Finkle and David Henry, Reuters",2018-04-01
https://www.huffingtonpost.com/entry/25-hilarious-comics-about-life-as-a-flight-attendant_us_5ab404cfe4b054d118e0f021,25 Hilarious Comics About Life As A Flight Attendant,TRAVEL,Flight attendant Kelly Kincaid loves drawing her experiences in the air and on the ground.,Caroline Bologna,2018-03-26
https://www.huffpost.com/entry/doctor-tablets-covid-19-patients-goodbyes_l_5e988500c5b65eae70a0ec0e,Doctor Collects 650 Tablets So COVID-19 Patients Can Say Their Final Goodbyes,WELLNESS,"For her birthday, New Yorker Ee Tay asked for donations of the devices that dying coronavirus patients could use to speak with loved ones one last time.",Brittany Wong,2020-04-17
https://www.huffpost.com/entry/four-seasons-nyc-coronavirus-cuomo_n_5e7d0160c5b6256a7a2723b2,Four Seasons Offers Free Rooms To NYC Health Care Workers Responding To Coronavirus,BUSINESS,"Several other luxury hotels stepped up later to offer beds to medical workers in the midst of the pandemic, Gov. Andrew Cuomo said.",Jenna Amatulli,2020-03-26
https://www.huffpost.com/entry/brian-flores-nfl-lawsuit_n_62b3597ee4b0c77098b68001,NFL Seeks Arbitration For Flores' Racial Discrimination Suit,SPORTS,The NFL and six of its teams have filed for arbitration in the lawsuit that alleges they engaged in racial discrimination.,"LARRY NEUMEISTER, AP",2022-06-22
https://www.huffpost.com/entry/boston-celtics-brooklyn-nets-nba-basketball_n_625c9fe6e4b0e97a351fab78,Tatum's Layup At Buzzer Gives Celtics 115-114 Win Over Nets,SPORTS,Jayson Tatum made a layup at the buzzer on a pass from Marcus Smart to give the Boston Celtics a dramatic 115-114 victory over the Brooklyn Nets in the Game 1 of their first-round playoff series,"KYLE HIGHTOWER, AP",2022-04-17
https://www.huffpost.com/entry/simone-biles-withdraws-floor-event_n_61061168e4b0f9b5a234254d,Simone Biles Withdraws From Floor Event Finals,SPORTS,"Simone Biles has taken time for her mental health and to recover from the ""twisties.""",,2021-08-01
https://www.huffpost.com/entry/another-starbucks-store-votes-to-unionize_n_620d1275e4b0685128b0646b,Another Starbucks Store Votes To Unionize,BUSINESS,The store in Arizona joins two in New York as the only corporate Starbucks stores with a union.,Dave Jamieson,2022-02-25
https://www.huffpost.com/entry/roe-v-wade-pregnancy-criminalization-arrest_l_629f6619e4b0c184bdd5b0df,"Without Roe V. Wade, Pregnant Women May Face Arrest For All Kinds Of Behaviors",WELLNESS,The criminalization of pregnancy is already an issue in the U.S. Experts warn it's about to get worse.,Caroline Bologna,2022-06-17
https://www.huffpost.com/entry/trump-search-warrant-affidavit_n_6307f080e4b0787ab40879b5,Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,POLITICS,The heavily redacted document lays out the justification the Department of Justice provided to a judge for permission to search for and seize highly classified documents in an FBI raid of Trump's Florida home.,S.V. Date,2022-08-26
https://www.huffpost.com/entry/mask-indoors-covid-vaccination-proof_l_617c3627e4b079111a64d954,Do I Need To Wear A Mask If A Place Requires Proof Of COVID Vaccination?,WELLNESS,"Here's what experts are personally doing when it comes to masking indoors, plus some factors to consider for yourself.",Julia Ries,2021-11-02
https://www.huffpost.com/entry/what-we-know-covid-19-antibodies_l_5f2ac90ac5b64d7a55ed4445,What We Know About COVID-19 Antibodies Is Changing. Here's What's New.,WELLNESS,"Experts break down coronavirus immunity, vaccines and why antibody tests aren't really that accurate.",Colleen Travers,2020-08-11
https://www.huffpost.com/entry/lamont-marcell-jacobs-american-father_n_6107a34fe4b000b997e37d66,Olympic Sprint King Lamont Marcell Jacobs Reconnects With American Father He Last Saw As Infant,SPORTS,The surprise 100-meter champ said establishing a relationship with his father helped motivate him in Tokyo.,Ron Dicker,2021-08-02
https://www.huffpost.com/entry/rudest-things-you-can-do-hotel_l_615b23dfe4b050254235fa82,The Rudest Things You Can Do At A Hotel,TRAVEL,"Etiquette experts share faux pas to avoid while staying at a hotel, especially during the pandemic.",Caroline Bologna,2021-10-07
https://www.huffpost.com/entry/carolyn-maloney-jerry-nadler-biden-2024_n_62f381ede4b001e175d911cc,"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",POLITICS,Two veteran New York Democrats previously dodged a question on whether the president should run for reelection.,Marita Vlachou,2022-08-10
https://www.huffpost.com/entry/nathan-chen-first-skate-team-competition_n_61fcf829e4b06abdc42e7d0b,Nathan Chen Brings His A-Game In First Skate At Beijing Winter Olympics,SPORTS,The American figure skating star's personal best short program helped the U.S. take the lead in the team competition.,Ron Dicker,2022-02-04
